number,value,datetime_start,datetime_complete,duration,params_conv_ch_0,params_conv_ch_1,params_conv_ch_10,params_conv_ch_11,params_conv_ch_12,params_conv_ch_13,params_conv_ch_2,params_conv_ch_3,params_conv_ch_4,params_conv_ch_5,params_conv_ch_6,params_conv_ch_7,params_conv_ch_8,params_conv_ch_9,params_dropout,params_kernel_size,params_linear_units_0,params_linear_units_1,params_lr,params_n_conv_layers,params_n_linear_layers,params_pool_every,params_pool_type,user_attrs_complexity,user_attrs_mean_cv_loss,state
20,0.34352667837285966,2025-12-08 03:53:18.094244,2025-12-08 04:04:12.804361,0 days 00:10:54.710117,16,128,128.0,,,,256,256,16,256,16,128,64.0,16.0,0.3787728811308317,5,128,,0.002006623777348229,11,1,2,avg,1344.0,0.34218267837285965,COMPLETE
21,0.5741770344453274,2025-12-08 04:04:12.918359,2025-12-08 04:08:34.448370,0 days 00:04:21.530011,16,128,,,,,64,32,128,16,32,16,,,0.34869645931525983,3,128,128.0,0.0071461000052662,8,2,2,avg,560.0,0.5736170344453274,COMPLETE
22,0.3542929049277422,2025-12-08 04:08:34.553468,2025-12-08 04:14:22.513373,0 days 00:05:47.959905,64,32,,,,,16,128,64,128,32,64,,,0.3047277172092673,3,128,32.0,0.0019228393487042126,8,2,4,max,608.0,0.3536849049277422,COMPLETE
23,0.4916847479970098,2025-12-08 04:14:22.619968,2025-12-08 04:30:47.540427,0 days 00:16:24.920459,256,256,256.0,128.0,,,32,256,128,64,16,32,128.0,16.0,0.3175285493527677,3,64,256.0,0.007480241960748882,12,2,4,avg,1728.0,0.4899567479970098,COMPLETE
24,0.41560650490577744,2025-12-08 04:30:47.650600,2025-12-08 04:39:24.831462,0 days 00:08:37.180862,256,32,256.0,,,,128,16,128,128,32,32,64.0,128.0,0.3202091622021293,5,128,,0.002422828554185797,11,1,2,avg,1264.0,0.41434250490577745,COMPLETE
25,0.5502978524364892,2025-12-08 04:39:24.940610,2025-12-08 04:45:42.620571,0 days 00:06:17.679961,16,128,,,,,128,16,32,64,256,256,,,0.4803523984270847,5,32,128.0,0.00083744236848592,8,2,2,max,976.0,0.5493218524364892,COMPLETE
26,0.517970146315882,2025-12-08 04:45:42.731571,2025-12-08 04:51:17.120650,0 days 00:05:34.389079,16,32,128.0,256.0,,,32,16,16,32,16,128,64.0,16.0,0.4456981354323226,5,256,256.0,0.0035718638222348408,12,2,4,avg,1008.0,0.516962146315882,COMPLETE
27,0.4816352092979543,2025-12-08 04:51:17.231708,2025-12-08 04:59:33.573682,0 days 00:08:16.341974,32,64,128.0,64.0,,,16,128,16,32,64,32,128.0,256.0,0.42069753331929094,5,64,,0.0022539063880948674,12,1,4,max,992.0,0.4806432092979543,COMPLETE
28,0.47521969080724663,2025-12-08 04:59:33.687740,2025-12-08 05:10:42.409454,0 days 00:11:08.721714,16,64,128.0,256.0,64.0,,64,64,64,16,256,128,32.0,256.0,0.4812874906688822,5,32,,0.0001898850364273118,13,1,4,avg,1424.0,0.47379569080724665,COMPLETE
29,0.19244217392914287,2025-12-08 05:10:42.524460,2025-12-08 05:19:16.031539,0 days 00:08:33.507079,256,32,256.0,,,,32,64,256,128,32,64,64.0,32.0,0.3130409182520984,3,256,,0.0008469597143996557,11,1,4,max,1344.0,0.19109817392914286,COMPLETE
