number,value,datetime_start,datetime_complete,duration,params_conv_ch_0,params_conv_ch_1,params_conv_ch_10,params_conv_ch_11,params_conv_ch_12,params_conv_ch_13,params_conv_ch_2,params_conv_ch_3,params_conv_ch_4,params_conv_ch_5,params_conv_ch_6,params_conv_ch_7,params_conv_ch_8,params_conv_ch_9,params_dropout,params_kernel_size,params_linear_units_0,params_linear_units_1,params_lr,params_n_conv_layers,params_n_linear_layers,params_pool_every,params_pool_type,user_attrs_complexity,user_attrs_mean_cv_loss,state
21,0.39817014509727977,2025-12-08 09:34:24.118426,2025-12-08 09:46:40.505929,0 days 00:12:16.387503,16,256,,,,,256,128,32,128,64,128,256.0,256.0,0.4537938641717541,5,128,,0.0001969368354797966,10,1,2,max,1584.0,0.3965861450972798,COMPLETE
22,0.20384440305791132,2025-12-08 09:46:40.617927,2025-12-08 09:55:02.238692,0 days 00:08:21.620765,256,128,,,,,16,128,128,128,64,64,256.0,256.0,0.46279723861444305,3,128,,0.002797158329941765,10,1,2,avg,1488.0,0.20235640305791133,COMPLETE
23,0.2738980169157075,2025-12-08 09:55:02.354691,2025-12-08 10:03:19.331861,0 days 00:08:16.977170,256,128,,,,,16,128,128,32,64,256,256.0,,0.46138664577040905,3,128,,0.001989551590332392,9,1,2,avg,1328.0,0.2725700169157075,COMPLETE
24,0.3074957737787566,2025-12-08 10:03:19.437711,2025-12-08 10:11:34.311472,0 days 00:08:14.873761,64,128,32.0,,,,32,128,128,128,64,64,256.0,32.0,0.4549970498881234,3,128,128.0,0.0015273346842191219,11,2,4,avg,1184.0,0.30631177377875657,COMPLETE
25,0.3277113346299296,2025-12-08 10:11:34.423518,2025-12-08 10:16:37.441947,0 days 00:05:03.018429,16,128,,,,,128,128,32,128,32,64,,,0.414558358342215,3,128,32.0,0.004496919819056362,8,2,2,max,736.0,0.32697533462992956,COMPLETE
26,0.2545512406530845,2025-12-08 10:16:37.545256,2025-12-08 10:24:58.970169,0 days 00:08:21.424913,256,128,,,,,64,32,256,128,32,64,64.0,16.0,0.4782921617051791,3,128,,0.0051505451646570175,10,1,2,avg,1104.0,0.2534472406530845,COMPLETE
27,0.23753851710891669,2025-12-08 10:24:59.082519,2025-12-08 10:32:04.110993,0 days 00:07:05.028474,256,32,,,,,256,128,32,64,32,64,128.0,,0.3913734314974618,3,128,,0.00554845663282667,9,1,2,avg,1056.0,0.23648251710891668,COMPLETE
28,0.29177426161993214,2025-12-08 10:32:04.222995,2025-12-08 10:36:35.784142,0 days 00:04:31.561147,16,128,128.0,32.0,16.0,,16,128,64,64,64,64,16.0,256.0,0.4606364391973312,3,128,,0.0011116809801427771,13,1,2,avg,1056.0,0.29071826161993214,COMPLETE
29,0.18164250231682283,2025-12-08 10:36:35.900140,2025-12-08 10:50:36.330163,0 days 00:14:00.430023,256,256,,,,,256,128,256,32,64,64,,,0.3525813448018442,3,128,,0.001810406641411711,8,1,2,max,1376.0,0.18026650231682284,COMPLETE
30,0.1945681830500336,2025-12-08 10:50:36.450756,2025-12-08 11:01:38.320492,0 days 00:11:01.869736,128,256,,,,,256,128,256,256,64,64,256.0,256.0,0.34559625738547695,3,128,128.0,0.001111321010664163,10,2,2,max,2048.0,0.1925201830500336,COMPLETE
31,0.25061216401929287,2025-12-08 11:01:38.441631,2025-12-08 11:10:01.909053,0 days 00:08:23.467422,32,256,,,,,256,128,256,32,64,64,,,0.39879996901727943,3,128,,0.003505578273969631,8,1,2,max,1152.0,0.24946016401929286,COMPLETE
32,0.31037141118878064,2025-12-08 11:10:02.020583,2025-12-08 11:17:02.419067,0 days 00:07:00.398484,128,128,,,,,64,128,256,256,64,64,256.0,256.0,0.3253555291304063,3,64,128.0,0.0006279665226061663,10,2,2,max,1696.0,0.30867541118878067,COMPLETE
33,0.31402143516757525,2025-12-08 11:17:02.542034,2025-12-08 11:27:59.639467,0 days 00:10:57.097433,128,256,256.0,,,,256,128,128,256,16,64,256.0,256.0,0.3961173411170765,3,256,128.0,0.001581070302433794,11,2,2,max,2192.0,0.3118294351675752,COMPLETE
34,0.2180678564015157,2025-12-08 11:27:59.779467,2025-12-08 11:52:35.122664,0 days 00:24:35.343197,256,256,,,,,256,128,256,16,64,64,256.0,,0.31794060344035546,3,64,,0.0005204541137840941,9,1,4,max,1584.0,0.21648385640151568,COMPLETE
35,0.20991870889492148,2025-12-08 11:52:35.247644,2025-12-08 12:03:21.247059,0 days 00:10:45.999415,128,256,,,,,256,128,16,256,64,256,256.0,256.0,0.3466818412261665,3,128,128.0,0.002241743945749321,10,2,2,max,2000.0,0.20791870889492148,COMPLETE
36,0.32886386782101945,2025-12-08 12:03:21.369348,2025-12-08 12:09:10.437914,0 days 00:05:49.068566,256,16,,,,,16,32,64,128,64,64,256.0,,0.47567014211280795,3,32,,0.0018052270629653952,9,1,2,avg,912.0,0.3279518678210194,COMPLETE
37,0.20906482731377635,2025-12-08 12:09:10.656144,2025-12-08 12:23:03.697584,0 days 00:13:53.041440,256,256,,,,,128,16,256,128,64,64,16.0,,0.3508712939747266,3,32,,0.0018479805772383588,9,1,2,max,1200.0,0.20786482731377634,COMPLETE
38,0.2477300685403345,2025-12-08 12:23:03.821739,2025-12-08 12:32:26.983637,0 days 00:09:23.161898,128,256,,,,,128,64,256,64,64,64,64.0,256.0,0.3614637713495442,3,128,64.0,0.0007865122981443073,10,2,2,max,1440.0,0.2462900685403345,COMPLETE
39,0.24199423786734953,2025-12-08 12:32:27.114636,2025-12-08 12:37:43.419819,0 days 00:05:16.305183,32,128,,,,,16,256,128,128,64,64,,,0.4922235692219894,3,128,,0.005048283536785712,8,1,2,avg,880.0,0.24111423786734953,COMPLETE
